molecule_chembl_id,canonical_smiles,standard_value
CHEMBL313838,CO[C@H]1C(=O)N([C@@H](C2SCCCS2)C2OC(C)(C)OC2C2COC(C)(C)O2)[C@H]1/C=C/c1ccccc1,76000.0
CHEMBL314222,CO[C@@H]1C(=O)N([C@@H](C2SCCCS2)C2OC(C)(C)OC2C2COC(C)(C)O2)[C@@H]1/C(C)=C/c1ccccc1,18000.0
CHEMBL418925,CCCC[C@@H]1C(=O)N(C(C)=O)[C@@H]1C(C)=O,45000.0
CHEMBL431207,CO[C@@H]1C(=O)N(C(C)=O)[C@@H]1/C(C)=C/c1ccccc1,1400.0
CHEMBL310133,CO[C@@H]1C(=O)N(C(C)=O)[C@@H]1C(C)=O,94000.0
CHEMBL24983,O=c1oc(Cl)c(Cl)c2ccccc12,100.0
CHEMBL174981,COCCn1c2ccc(OC)cc2c2c(=O)oc(=O)[nH]c21,1000000.0
CHEMBL280319,COc1ccc(CCN(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)C(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)C)cc1OC,693.0
CHEMBL262218,CC(C)C(NC(=O)CN(C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C1Cc2ccccc2C1)C(=O)C(F)(F)F,84.0
CHEMBL367233,Cc1c(C)n(C2CCCCC2)c2[nH]c(=O)oc(=O)c12,1000000.0
CHEMBL158647,CCOC(=O)CCC(=O)Nc1nc(/C(=N\OC)C(=O)N[C@H](C(=O)N(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)C2Cc3ccccc3C2)C(C)C)cs1,452.0
CHEMBL158470,CC(C)C(NC(=O)CN(C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C1CCCCCC1)C(=O)C(F)(F)F,175.0
CHEMBL160660,CC(C)C(NC(=O)CN(C)C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)C(F)(F)F,153.0
CHEMBL160737,CC(C)C(NC(=O)CN(C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C1CCCC1)C(=O)C(F)(F)F,156.0
CHEMBL160206,CC(C)C(NC(=O)CN(C(=O)[C@H](C(C)C)N(C)C(=O)OCc1ccccc1)C1Cc2ccccc2C1)C(=O)C(F)(F)F,1562.0
CHEMBL348882,CC(C)C(NC(=O)CN(C(=O)OCc1ccccc1)C1Cc2ccccc2C1)C(=O)C(F)(F)F,5000.0
CHEMBL160365,CC(C)C(NC(=O)C1Cc2ccccc2CN1C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)C(F)(F)F,73.0
CHEMBL369817,CCCCn1c2ccc(OC)cc2c2c(=O)oc(=O)[nH]c21,1000000.0
CHEMBL172713,CC(=O)Oc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2Cc1ccccc1,75000.0
CHEMBL174436,CC(=O)Oc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2CCc1ccccc1,92000.0
CHEMBL174114,CCCCn1c(C)c(C)c2c(=O)oc(=O)[nH]c21,1000000.0
CHEMBL174956,Cc1c(C)n(CCCc2ccccc2)c2[nH]c(=O)oc(=O)c12,895000.0
CHEMBL348342,CC(C)C(NC(=O)CN(C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C1CCCC1)C(=O)C(F)(F)F,92.0
CHEMBL435649,CC(C)C(NC(=O)CN(C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1)C(C)C)C1CC2CCC1C2)C(=O)C(F)(F)F,61.0
CHEMBL354406,COc1ccc2c(c1)c1c(=O)oc(=O)[nH]c1n2Cc1ccccn1,1000000.0
CHEMBL160256,CC(C)C(NC(=O)CN(C(=O)[C@@H](NC(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Br)cc2)cc1)C(C)C)C1Cc2ccccc2C1)C(=O)C(F)(F)F,149.0
CHEMBL173078,CCCCn1c2ccc(OC(C)=O)cc2c2c(=O)oc(=O)[nH]c21,810000.0
CHEMBL160320,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N(CC(=O)NCC(=O)C(F)(F)F)C1Cc2ccccc2C1,5000.0
