molecule_chembl_id,canonical_smiles,standard_value
CHEMBL283942,C=C[C@H]1C[N@+]2(Cc3cc(C(C)(C)C)c(OC)c(C(C)(C)C)c3)CC[C@H]1C[C@@H]2[C@@H](OCc1ccccc1)c1ccnc2ccccc12.[Br-],1100.0
CHEMBL177281,N=C(N)c1cccc(NC(=O)Nc2cccc(C(=N)N)c2)c1,5.0
CHEMBL174393,CCCCNS(=O)(=O)c1ccc(NC(=O)Nc2cccc(C(=N)N)c2)cc1,3900.0
CHEMBL176406,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccccc3F)cc2)c1,620.0
CHEMBL177923,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccc(F)cc3F)cc2)c1,1110.0
CHEMBL611167,C=CCO[C@H](c1ccnc2ccccc12)[C@@H]1C[C@@H]2CC[N+]1(Cc1cc(C(C)(C)C)c(OC)c(C(C)(C)C)c1)C[C@@H]2C=C.[Br-],1100.0
CHEMBL281262,C=C[C@H]1C[N@+]2(Cc3cc(C(C)(C)C)c(OC)c(C(C)(C)C)c3)CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.[Br-],1000.0
CHEMBL176227,N=C(N)c1cccc(NC(=O)Nc2cccc(S(=O)(=O)NCc3ccccc3)c2)c1,6200.0
CHEMBL86069,CC(=O)CC(=O)OC1(C)CCC2CC1OO[C@@]2(C)CS(=O)(=O)c1ccccc1,46.0
CHEMBL367193,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCCN3CCOCC3)cc2)c1,2500.0
CHEMBL426045,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)Nc3cccc4ccccc34)cc2)c1,17000.0
CHEMBL178028,N=C(N)c1cccc(NC(=O)Nc2cccc(S(=O)(=O)NCc3c(F)ccc(F)c3F)c2)c1,250.0
CHEMBL82620,CC1(O)CCC2CC1OO[C@]2(C)CS(=O)(=O)c1ccccc1,89.0
CHEMBL90430,NCCC(=O)N(CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1)CC1CC1,398.0
CHEMBL93307,COc1c(N2C[C@H]3[C@H](N)[C@H]3C2)c(F)cc2c1N(C1CC1)CC(C(=O)O)C2=O,92000.0
CHEMBL333676,CC(CCCN)Nc1c(O)c(O)c(NC(C)CCCN)c2ncccc12,150.0
CHEMBL71542,COC1(c2ccccc2)C=CC(C)(C)OO1,1100.0
CHEMBL333267,CC(CCCN)N(C(C)CCCN)C(C)CCCN,0.115
CHEMBL306459,COC1(c2ccc(F)cc2)C=CC2(CCCCCC2)OO1,85.0
CHEMBL115640,COC(=O)CC1CCC(CCCCCOC(=O)NCCCC[C@@H]2CCC3NC(=O)NC32)(OC)OO1,910.0
CHEMBL441514,C[C@H]1CCC[C@H](C)C12OOC1(OO2)[C@H](C)CCC[C@H]1C,1000.0
CHEMBL68066,COC1(c2ccccc2)C=CC2(CCCCC2)OO1,280.0
CHEMBL69570,COC1(c2ccc(Cl)cc2)C=CC2(CCCCCC2)OO1,58.0
CHEMBL304077,COC1(c2ccc(OC(F)(F)F)cc2)C=CC2(CCCCC2)OO1,140.0
CHEMBL119737,CCCCCC1(OC)CCC(CC(=O)OC)OO1,120.0
CHEMBL71195,COc1cc(C2(OC)C=CC3(CCCCCC3)OO2)cc(OC)c1OC,120.0
CHEMBL315647,COc1c(N2C[C@H]3[C@H](CN)[C@H]3C2)c(F)cc2c1N(c1ccc(F)cc1F)CC(C(=O)O)C2=O,40000.0
CHEMBL307530,CCc1ccc(C2(OC)C=CC3(CCCCCC3)OO2)cc1,180.0
CHEMBL67165,COc1ccc(C2(OC)C=CC3(CCCCCC3)OO2)cc1,210.0
CHEMBL69712,COC1(c2ccc(F)cc2)C=CC2(CCCCC2)OO1,200.0
CHEMBL96896,COc1c(N2C[C@H]3[C@H](N)[C@H]3C2)c(F)cc2c1N(c1ccc(F)cc1F)CC(C(=O)O)C2=O,105000.0
CHEMBL31,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,29000.0
CHEMBL283998,CC1(C)CCCCC12OOC1(CCCCC1(C)C)OO2,1000.0
CHEMBL305473,COC1(c2ccc(OC(F)(F)F)cc2)C=CC2(CCCCCC2)OO1,61.0
CHEMBL69622,COC1(c2ccc(SC)cc2)C=CC2(CCCCCC2)OO1,78.0
CHEMBL304530,COC1(c2ccc(S(C)(=O)=O)cc2)C=CC2(CCCCC2)OO1,56.0
CHEMBL327105,C[C@@H](O)C1=C[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,100.0
CHEMBL120786,COc1c(O)c(NC(C)CCCN)c2ncccc2c1-c1c(OC)c(O)c(NC(C)CCCN)c2ncccc12,150.0
CHEMBL29292,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,29000.0
CHEMBL440127,COC1(c2ccccc2)C=CC2(CCCC2)OO1,190.0
CHEMBL419873,O=C(O)CCC(=O)N(CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1)CC1CC1,1380.0
CHEMBL265481,COC1(c2ccc(S(C)(=O)=O)cc2)C=CC2(CCCCCC2)OO1,31.0
CHEMBL120494,COc1cc(NC(C)CCCN)c2ncccc2c1NC(C)CCCN,0.026
CHEMBL8771,Nc1ncnc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,200.0
CHEMBL68263,CC(C)OC1(c2ccc(Cl)cc2)C=CC2(CCCCCC2)OO1,1100.0
CHEMBL69501,COC1(c2ccc(Cl)cc2)C=CC2(CCCCC2)OO1,100.0
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,45000.0
CHEMBL120062,COc1cc(NC(C)CCCN)c2ncccc2c1-c1c(OC)cc(NC(C)CCCN)c2ncccc12,0.036
CHEMBL306325,COC1(c2ccccc2)C=CC2(CCCCCC2)OO1,220.0
CHEMBL428,N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,22000.0
CHEMBL432998,COC(=O)CC1CCC(CCCCCOC(=O)NCCCCNC(=O)OCCOCCOC(=O)NCCCC[C@@H]2CCC3NC(=O)NC32)(OC)OO1,570.0
CHEMBL506,COc1cc(NC(C)CCCN)c2ncccc2c1,0.115
CHEMBL22590,C1CCC2(CC1)OOC1(CCCCC1)OO2,38.0
CHEMBL69815,COc1ccc(C2(OC)C=CC3(CCCCC3)OO2)cc1,180.0
CHEMBL69547,CC1(C)C=CC(O)(c2ccccc2)OO1,2500.0
CHEMBL430903,CC(C)CC(C(=O)NO)C(=O)N(CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1)CC(C)C,151.0
CHEMBL67455,COC1(c2ccc(SC)cc2)C=CC2(CCCCC2)OO1,160.0
CHEMBL328470,CC(C)CN(CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1)C(=O)CC(=O)NO,317.0
CHEMBL302718,COc1ccc(C2(OC)C=CC3(CCC3)OO2)cc1,160.0
CHEMBL66289,COC1(c2ccc([N+](=O)[O-])cc2)C=CC2(CCCCC2)OO1,46.0
CHEMBL314302,COc1c(N2C[C@H]3[C@H](CN)[C@H]3C2)c(F)cc2c1N(C1CC1)CC(C(=O)O)C2=O,100000.0
CHEMBL91474,CC(C)CN(CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1)C(=O)C(N)C(=O)NO,178.0
CHEMBL83633,C[C@@H]1CCC2C3(CC3)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4,0.01
CHEMBL83177,C[C@@H]1CCC2C(=O)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4,0.319
CHEMBL2371000,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)OC)NC(=O)[C@H]2CCCCN2C1=O,0.21
CHEMBL310963,CO[C@H]1O[C@]2(C)CC[C@H]3CCC[C@@H](CCOCc4c(C)noc4C)[C@@]13OO2,0.0005
CHEMBL2371005,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCC(=O)OC)NC(=O)[C@H]2CCCCN2C1=O,1.0
CHEMBL2371002,CCC(=O)C(F)CCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,0.7
CHEMBL274670,C[C@@H]1CC[C@H]2[C@@H](C)C(CC(COC(=O)CCC(=O)O)CC3OC4O[C@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)C46OO5)OC3O[C@]4(C)CCC1C32OO4,2.0
CHEMBL312564,CO[C@H]1O[C@]2(C)CC[C@H]3CCC[C@@H](CCOC(=O)N(c4ccccc4)c4ccccc4)[C@@]13OO2,0.0002
CHEMBL1171275,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](CC(O)(CO)C[C@H]3O[C@@H]4O[C@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@]64OO5)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4,0.59
CHEMBL2370999,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)O)NC(=O)[C@H]2CCCCN2C1=O,1.0
CHEMBL2371004,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCCC(=O)OC)NC(=O)[C@H]2CCCCN2C1=O,0.5
